ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1523,19012866,,,,Felony,2020/02/20,2020/03/10,N,19,Convicted,Concluded,Convicted,Sexual Assault
1516,19016884,,,,Misdemeanor,2020/02/24,2020/02/28,N,4,Not Convicted,Concluded,Not Convicted,DUI
1518,18004031,,,,Misdemeanor,2020/02/24,2020/03/02,N,7,Convicted,Concluded,Convicted,DUI
1517,19018366,,,,Misdemeanor,2020/02/26,2020/03/02,N,5,Convicted,Concluded,Convicted,DUI
1521,1516019,,,,Felony,2020/03/02,2020/03/09,N,7,Convicted,Concluded,Convicted,NA
1522,19018438,19014480,19014480,,Misdemeanor,2020/03/03,2020/03/10,N,7,Convicted,Concluded,Convicted,Stay Away Violati
1524,19016409,,,,Misdemeanor,2020/03/10,2020/03/13,N,3,Convicted,Concluded,Convicted,DUI
1527,19015470,,,,Felony,2020/03/23,2020/09/22,N,183,Convicted,Concluded,Convicted,Robbery
1526,20000300,,,,Felony,2020/08/05,2020/08/27,N,22,Convicted,Concluded,Convicted,Burglary-Resident
1528,19015470,,,,Felony,2020/09/04,2020/09/22,N,18,Convicted,Concluded,Convicted,Robbery
1529,19007515,,,,Felony,2020/09/10,2020/10/09,N,29,Convicted,Concluded,Convicted,Attempted Homicid
1531,19009654,,,,Felony,2020/10/01,2020/11/09,N,39,Convicted,Concluded,Convicted,Assault-Felony
1530,20001414,,,,Felony,2020/10/15,2020/10/28,N,13,Convicted,Concluded,Convicted,Assault-Felony
1532,20007148,,,,Felony,2021/01/27,2021/02/24,N,28,NA,NA,Convicted,Sexual Assault
1533,19016394,,,,Felony,2021/02/23,2021/03/23,N,28,Convicted,Concluded,Convicted,Sexual Assault
1534,20008566,,,,Felony,2021/03/17,2021/04/12,N,26,Convicted,Concluded,Convicted,Assault-Felony
1535,20009124,,,,Felony,2021/04/12,2021/05/03,N,21,NA,NA,Convicted,Homicide
